Lower layer Super Output Areas Code,Household type (6 categories),Observation
E01033582,Cohabiting couple household,123
E01033582,Lone parent household,69
E01033582,Multi-person household,49
E01033584,Does not apply,0
E01033584,One-person household,111
E01033584,Married or civil partnership couple household,192
E01033584,Cohabiting couple household,44
E01033584,Lone parent household,185
E01033584,Multi-person household,30
E01033586,Does not apply,0
E01033586,One-person household,309
E01033586,Married or civil partnership couple household,218
E01033586,Cohabiting couple household,160
E01033586,Lone parent household,125
E01033586,Multi-person household,91
E01033587,Does not apply,0
E01033587,One-person household,343
E01033587,Married or civil partnership couple household,292
E01033587,Cohabiting couple household,124
E01033587,Lone parent household,227
E01033587,Multi-person household,54
E01033589,Does not apply,0
E01033589,One-person household,160
E01033589,Married or civil partnership couple household,386
E01033589,Cohabiting couple household,40
E01033589,Lone parent household,58
E01033589,Multi-person household,23
E01033590,Does not apply,0
E01033590,One-person household,76
E01033590,Married or civil partnership couple household,173
E01033590,Cohabiting couple household,28
E01033590,Lone parent household,129
E01033590,Multi-person household,10
E01033591,Does not apply,0
E01033591,One-person household,274
E01033591,Married or civil partnership couple household,504
E01033591,Cohabiting couple household,83
E01033591,Lone parent household,122
E01033591,Multi-person household,29
E01033592,Does not apply,0
E01033592,One-person household,109
E01033592,Married or civil partnership couple household,358
E01033592,Cohabiting couple household,26
E01033592,Lone parent household,115
E01033592,Multi-person household,17
E01033593,Does not apply,0
E01033593,One-person household,366
E01033593,Married or civil partnership couple household,178
E01033593,Cohabiting couple household,120
E01033593,Lone parent household,119
E01033593,Multi-person household,88
E01033594,Does not apply,0
E01033594,One-person household,360
E01033594,Married or civil partnership couple household,141
E01033594,Cohabiting couple household,66
E01033594,Lone parent household,62
E01033594,Multi-person household,74
E01033597,Does not apply,0
E01033597,One-person household,344
E01033597,Married or civil partnership couple household,115
E01033597,Cohabiting couple household,40
E01033597,Lone parent household,53
E01033597,Multi-person household,32
E01033598,Does not apply,0
E01033598,One-person household,184
E01033598,Married or civil partnership couple household,137
E01033598,Cohabiting couple household,39
E01033598,Lone parent household,140
E01033598,Multi-person household,46
E01033599,Does not apply,0
E01033599,One-person household,167
E01033599,Married or civil partnership couple household,129
E01033599,Cohabiting couple household,33
E01033599,Lone parent household,182
E01033599,Multi-person household,15
E01033601,Does not apply,0
E01033601,One-person household,185
E01033601,Married or civil partnership couple household,232
E01033601,Cohabiting couple household,33
E01033601,Lone parent household,119
E01033601,Multi-person household,39
E01033602,Does not apply,0
E01033602,One-person household,255
E01033602,Married or civil partnership couple household,158
E01033602,Cohabiting couple household,47
E01033602,Lone parent household,146
E01033602,Multi-person household,27
E01033603,Does not apply,0
E01033603,One-person household,261
E01033603,Married or civil partnership couple household,94
E01033603,Cohabiting couple household,81
E01033603,Lone parent household,81
E01033603,Multi-person household,75
E01033604,Does not apply,0
E01033604,One-person household,223
E01033604,Married or civil partnership couple household,114
E01033604,Cohabiting couple household,48
E01033604,Lone parent household,92
E01033604,Multi-person household,63
E01033605,Does not apply,0
E01033605,One-person household,280
E01033605,Married or civil partnership couple household,148
E01033605,Cohabiting couple household,50
E01033605,Lone parent household,162
E01033605,Multi-person household,59
E01033699,Does not apply,0
E01033699,One-person household,275
E01033699,Married or civil partnership couple household,94
E01033699,Cohabiting couple household,159
E01033699,Lone parent household,55
E01033699,Multi-person household,131
E01033700,Does not apply,0
E01033700,One-person household,356
E01033700,Married or civil partnership couple household,190
E01033700,Cohabiting couple household,259
E01033700,Lone parent household,92
E01033700,Multi-person household,236
E01033702,Does not apply,0
E01033702,One-person household,179
E01033702,Married or civil partnership couple household,149
E01033702,Cohabiting couple household,91
E01033702,Lone parent household,110
E01033702,Multi-person household,31
E01033703,Does not apply,0
E01033703,One-person household,215
E01033703,Married or civil partnership couple household,91
E01033703,Cohabiting couple household,85
E01033703,Lone parent household,75
E01033703,Multi-person household,93
E01033704,Does not apply,0
E01033704,One-person household,353
E01033704,Married or civil partnership couple household,169
E01033704,Cohabiting couple household,241
E01033704,Lone parent household,99
E01033704,Multi-person household,241
E01033705,Does not apply,0
E01033705,One-person household,166
E01033705,Married or civil partnership couple household,129
E01033705,Cohabiting couple household,88
E01033705,Lone parent household,125
E01033705,Multi-person household,43
E01033706,Does not apply,0
E01033706,One-person household,291
E01033706,Married or civil partnership couple household,101
E01033706,Cohabiting couple household,143
E01033706,Lone parent household,48
E01033706,Multi-person household,148
E01033708,Does not apply,0
E01033708,One-person household,412
E01033708,Married or civil partnership couple household,110
E01033708,Cohabiting couple household,189
E01033708,Lone parent household,45
E01033708,Multi-person household,181
E01033709,Does not apply,0
E01033709,One-person household,392
E01033709,Married or civil partnership couple household,159
E01033709,Cohabiting couple household,111
E01033709,Lone parent household,113
E01033709,Multi-person household,97
E01033710,Does not apply,0
E01033710,One-person household,173
E01033710,Married or civil partnership couple household,94
E01033710,Cohabiting couple household,103
E01033710,Lone parent household,97
E01033710,Multi-person household,48
E01033711,Does not apply,0
E01033711,One-person household,396
E01033711,Married or civil partnership couple household,108
E01033711,Cohabiting couple household,167
E01033711,Lone parent household,46
E01033711,Multi-person household,164
E01033712,Does not apply,0
E01033712,One-person household,247
E01033712,Married or civil partnership couple household,126
E01033712,Cohabiting couple household,123
E01033712,Lone parent household,117
E01033712,Multi-person household,81
E01033713,Does not apply,0
E01033713,One-person household,222
E01033713,Married or civil partnership couple household,111
E01033713,Cohabiting couple household,138
E01033713,Lone parent household,76
E01033713,Multi-person household,65
E01033727,Does not apply,0
E01033727,One-person household,290
E01033727,Married or civil partnership couple household,232
E01033727,Cohabiting couple household,156
E01033727,Lone parent household,161
E01033727,Multi-person household,126
E01033728,Does not apply,0
E01033728,One-person household,292
E01033728,Married or civil partnership couple household,224
E01033728,Cohabiting couple household,194
E01033728,Lone parent household,59
E01033728,Multi-person household,98
E01033729,Does not apply,0
E01033729,One-person household,280
E01033729,Married or civil partnership couple household,219
E01033729,Cohabiting couple household,81
E01033729,Lone parent household,153
E01033729,Multi-person household,25
E01033732,Does not apply,0
E01033732,One-person household,103
E01033732,Married or civil partnership couple household,123
E01033732,Cohabiting couple household,101
E01033732,Lone parent household,68
E01033732,Multi-person household,57
E01033734,Does not apply,0
E01033734,One-person household,175
