Lower layer Super Output Areas Code,Economic activity status (4 categories),Observation
E01033727,Economically active: In employment (including full-time students),1321
E01033727,Economically active: Unemployed (including full-time students),186
E01033727,Economically inactive,836
E01033728,Does not apply,219
E01033728,Economically active: In employment (including full-time students),1249
E01033728,Economically active: Unemployed (including full-time students),50
E01033728,Economically inactive,245
E01033729,Does not apply,468
E01033729,Economically active: In employment (including full-time students),865
E01033729,Economically active: Unemployed (including full-time students),181
E01033729,Economically inactive,963
E01033732,Does not apply,193
E01033732,Economically active: In employment (including full-time students),673
E01033732,Economically active: Unemployed (including full-time students),38
E01033732,Economically inactive,163
E01033734,Does not apply,236
E01033734,Economically active: In employment (including full-time students),936
E01033734,Economically active: Unemployed (including full-time students),74
E01033734,Economically inactive,220
E01033735,Does not apply,232
E01033735,Economically active: In employment (including full-time students),708
E01033735,Economically active: Unemployed (including full-time students),69
E01033735,Economically inactive,252
E01033736,Does not apply,196
E01033736,Economically active: In employment (including full-time students),1707
E01033736,Economically active: Unemployed (including full-time students),91
E01033736,Economically inactive,252
E01033737,Does not apply,383
E01033737,Economically active: In employment (including full-time students),1010
E01033737,Economically active: Unemployed (including full-time students),103
E01033737,Economically inactive,438
E01033738,Does not apply,344
E01033738,Economically active: In employment (including full-time students),1084
E01033738,Economically active: Unemployed (including full-time students),98
E01033738,Economically inactive,334
E01033739,Does not apply,469
E01033739,Economically active: In employment (including full-time students),834
E01033739,Economically active: Unemployed (including full-time students),110
E01033739,Economically inactive,313
E01033740,Does not apply,452
E01033740,Economically active: In employment (including full-time students),776
E01033740,Economically active: Unemployed (including full-time students),80
E01033740,Economically inactive,326
E01033741,Does not apply,441
E01033741,Economically active: In employment (including full-time students),1006
E01033741,Economically active: Unemployed (including full-time students),179
E01033741,Economically inactive,1072
E01033742,Does not apply,264
E01033742,Economically active: In employment (including full-time students),819
E01033742,Economically active: Unemployed (including full-time students),57
E01033742,Economically inactive,201
E01033743,Does not apply,527
